Retention volume (mL),0.5hr,1.5hr,1hr,2.5hr,5hr,PPS
0.3566667,-0.2012538,-0.01836017,-0.3510778,-0.01296274,-0.551457,-0.002693121
0.36,-0.1988001,-0.01594618,-0.3462705,-0.01121857,-0.5452207,-0.003255414
0.3633333,-0.1955452,-0.01373437,-0.3413641,-0.01157248,-0.5382825,-0.002020984
0.3666667,-0.1903945,-0.01302555,-0.3379568,-0.01022886,-0.5315426,0.000113714
0.37,-0.1845418,-0.01211455,-0.3331496,-0.006684153,-0.5249057,0.003350859
0.3733333,-0.178487,-0.008701109,-0.3265418,-0.003036451,-0.519768,0.007682823
0.3766667,-0.1715357,-0.004990122,-0.3188354,0.00100798,-0.5168313,0.01101915
0.38,-0.1673806,-0.001977225,-0.3108277,0.003152692,-0.514795,0.01305467
0.3833334,-0.1622299,0.003133756,-0.303621,0.005396586,-0.5121559,0.01478882
0.3866667,-0.1552747,0.006844743,-0.296914,0.006244301,-0.5078193,0.01652679
0.39,-0.1477207,0.007957921,-0.2905084,0.007187383,-0.5032805,0.01856231
0.3933333,-0.1394686,0.009769189,-0.2844996,0.00983182,-0.5003438,0.022097
0.3966667,-0.1302171,0.01248073,-0.2784945,0.01217871,-0.4981053,0.02613142
0.4,-0.123262,0.01709198,-0.2709865,0.01512451,-0.4967708,0.03006665
0.4033333,-0.1180121,0.02300405,-0.2632801,0.01826867,-0.4957301,0.03130108
0.4066667,-0.113258,0.02861476,-0.2567715,0.02051257,-0.494594,0.03283687
0.41,-0.1092059,0.03272628,-0.2512662,0.02195919,-0.4926568,0.03347239
0.4133334,-0.1057527,0.03703618,-0.24726,0.0227039,-0.4893196,0.03300928
0.4166667,-0.09949951,0.04044962,-0.2431509,0.02334944,-0.4848838,0.03474344
0.42,-0.0946463,0.04475952,-0.238645,0.02369362,-0.4816458,0.03657677
0.4233333,-0.09099473,0.05017186,-0.2317359,0.02573915,-0.4793081,0.03711311
0.4266667,-0.08804125,0.05618311,-0.2250289,0.0269874,-0.4773709,0.03574973
